employee_name,hours_worked,meetings_per_day,stress_score,sleep_hours,productivity_drop,overtime_hours,workload_level,job_satisfaction,burnout,burnout_probability,risk_level
Employee 26,10.0,5.0,4.0,8.0,4.0,2.0,5.0,6.0,0,39.0,Medium
Employee 27,11.0,5.0,6.0,7.0,4.0,3.0,6.0,5.0,0,42.0,Medium
Employee 28,7.0,1.0,4.0,8.0,2.0,1.0,2.0,7.0,0,19.0,Low
Employee 29,12.0,5.0,7.0,7.0,6.0,3.0,7.0,4.0,1,56.0,Medium
Employee 30,12.0,6.0,7.0,6.0,5.0,4.0,7.0,4.0,1,53.0,Medium
Employee 31,8.0,2.0,5.0,7.0,3.0,2.0,3.0,6.0,0,33.0,Medium
Employee 32,10.0,3.0,5.0,8.0,4.0,2.0,5.0,5.0,0,45.0,Medium
Employee 33,9.0,3.0,6.0,7.0,4.0,2.0,3.0,5.0,0,36.0,Medium
Employee 34,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,59.0,Medium
Employee 35,14.0,6.0,10.0,5.0,9.0,5.0,10.0,1.0,1,94.0,High
Employee 36,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,37.0,Medium
Employee 37,11.0,3.0,7.0,6.0,6.0,3.0,6.0,3.0,1,65.0,Medium
Employee 38,10.0,3.0,6.0,7.0,5.0,3.0,5.0,4.0,0,49.0,Medium
Employee 39,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,38.0,Medium
Employee 40,10.0,3.0,7.0,6.0,6.0,3.0,5.0,3.0,1,62.0,Medium
Employee 41,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,39.0,Medium
Employee 42,9.0,3.0,3.0,8.0,2.0,2.0,4.0,8.0,0,15.0,Low
Employee 43,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,61.0,Medium
Employee 44,8.0,2.0,4.0,8.0,3.0,2.0,2.0,7.0,0,26.0,Low
Employee 45,8.0,3.0,4.0,8.0,3.0,1.0,2.0,7.0,0,28.0,Low
Employee 46,10.0,3.0,9.0,6.0,7.0,3.0,5.0,2.0,1,71.0,High
Employee 47,10.0,5.0,7.0,7.0,6.0,3.0,5.0,4.0,1,57.0,Medium
Employee 48,9.0,3.0,5.0,8.0,4.0,2.0,3.0,6.0,0,39.0,Medium
Employee 49,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,61.0,Medium
Employee 50,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,62.0,Medium
Employee 51,14.0,7.0,9.0,5.0,8.0,5.0,9.0,1.0,1,80.0,High
Employee 52,11.0,6.0,6.0,7.0,6.0,3.0,6.0,4.0,1,63.0,Medium
Employee 53,10.0,5.0,7.0,7.0,6.0,3.0,5.0,4.0,1,60.0,Medium
Employee 54,13.0,6.0,9.0,6.0,8.0,4.0,8.0,2.0,1,79.0,High
Employee 55,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,39.0,Medium
Employee 56,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,36.0,Medium
Employee 57,9.0,3.0,7.0,7.0,5.0,3.0,4.0,4.0,1,50.0,Medium
Employee 58,12.0,6.0,8.0,6.0,7.0,4.0,7.0,2.0,1,72.0,High
Employee 59,9.0,3.0,5.0,8.0,3.0,2.0,3.0,6.0,0,34.0,Medium
Employee 60,8.0,2.0,4.0,8.0,3.0,2.0,2.0,7.0,0,27.0,Low
Employee 61,12.0,5.0,7.0,6.0,7.0,4.0,7.0,3.0,1,66.0,High
Employee 62,8.0,2.0,4.0,8.0,3.0,2.0,2.0,6.0,0,27.0,Low
Employee 63,11.0,3.0,7.0,7.0,7.0,3.0,6.0,3.0,1,67.0,High
Employee 64,8.0,2.0,5.0,7.0,4.0,2.0,2.0,5.0,0,38.0,Medium
Employee 65,8.0,3.0,4.0,8.0,3.0,2.0,2.0,6.0,0,28.0,Low
Employee 66,7.0,1.0,1.0,10.0,0.0,0.0,1.0,9.0,0,5.0,Low
Employee 67,9.0,3.0,3.0,9.0,2.0,2.0,4.0,7.0,0,22.0,Low
Employee 68,8.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,0,39.0,Medium
Employee 69,9.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,1,52.0,Medium
Employee 70,10.0,5.0,5.0,8.0,4.0,2.0,5.0,6.0,0,39.0,Medium
Employee 71,8.0,2.0,2.0,9.0,1.0,1.0,3.0,8.0,0,11.0,Low
Employee 72,9.0,3.0,5.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 73,10.0,3.0,6.0,7.0,5.0,3.0,5.0,4.0,1,50.0,Medium
Employee 74,9.0,2.0,5.0,7.0,4.0,2.0,4.0,5.0,0,41.0,Medium
Employee 75,10.0,5.0,5.0,8.0,4.0,2.0,5.0,6.0,0,43.0,Medium
Employee 76,10.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 77,12.0,6.0,9.0,5.0,8.0,4.0,7.0,1.0,1,85.0,High
Employee 78,8.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,0,35.0,Medium
Employee 79,7.0,2.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 80,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 81,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,55.0,Medium
Employee 82,11.0,6.0,7.0,7.0,6.0,3.0,6.0,4.0,1,62.0,Medium
Employee 83,11.0,5.0,8.0,6.0,7.0,3.0,6.0,3.0,1,72.0,High
Employee 84,12.0,5.0,8.0,6.0,7.0,4.0,8.0,2.0,1,71.0,High
Employee 85,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,39.0,Medium
Employee 86,8.0,2.0,5.0,7.0,5.0,2.0,3.0,5.0,0,48.0,Medium
Employee 87,12.0,5.0,8.0,6.0,7.0,4.0,7.0,2.0,1,70.0,High
Employee 88,11.0,6.0,6.0,7.0,6.0,3.0,6.0,4.0,1,56.0,Medium
Employee 89,8.0,2.0,4.0,8.0,3.0,2.0,3.0,7.0,0,27.0,Low
Employee 90,10.0,3.0,7.0,6.0,7.0,3.0,5.0,3.0,1,66.0,High
Employee 91,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,56.0,Medium
Employee 92,10.0,3.0,9.0,6.0,8.0,3.0,5.0,2.0,1,79.0,High
Employee 93,7.0,1.0,3.0,9.0,2.0,1.0,1.0,8.0,0,18.0,Low
Employee 94,9.0,3.0,5.0,8.0,3.0,2.0,4.0,6.0,0,33.0,Medium
Employee 95,9.0,3.0,6.0,7.0,4.0,3.0,4.0,5.0,0,40.0,Medium
Employee 96,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,39.0,Medium
Employee 97,7.0,2.0,3.0,8.0,2.0,1.0,1.0,7.0,0,23.0,Low
Employee 98,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,45.0,Medium
Employee 99,8.0,2.0,7.0,6.0,5.0,2.0,3.0,4.0,1,52.0,Medium
Employee 100,12.0,6.0,7.0,6.0,6.0,4.0,7.0,3.0,1,60.0,Medium
Employee 101,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,59.0,Medium
Employee 102,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,36.0,Medium
Employee 103,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,29.0,Low
Employee 104,10.0,3.0,5.0,7.0,3.0,3.0,5.0,6.0,0,34.0,Medium
Employee 105,9.0,3.0,5.0,7.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 106,10.0,5.0,5.0,7.0,5.0,2.0,4.0,5.0,0,46.0,Medium
Employee 107,10.0,3.0,4.0,8.0,4.0,2.0,5.0,6.0,0,36.0,Medium
Employee 108,9.0,3.0,7.0,7.0,4.0,2.0,3.0,4.0,0,45.0,Medium
Employee 109,10.0,5.0,4.0,8.0,3.0,2.0,5.0,7.0,0,27.0,Low
Employee 110,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,65.0,Medium
Employee 111,11.0,5.0,6.0,7.0,3.0,3.0,6.0,6.0,0,34.0,Medium
Employee 112,8.0,2.0,5.0,7.0,4.0,2.0,3.0,5.0,0,37.0,Medium
Employee 113,8.0,2.0,5.0,8.0,2.0,2.0,2.0,6.0,0,25.0,Low
Employee 114,10.0,3.0,7.0,6.0,6.0,3.0,5.0,4.0,1,57.0,Medium
Employee 115,10.0,3.0,6.0,7.0,5.0,3.0,5.0,5.0,1,52.0,Medium
Employee 116,13.0,6.0,8.0,6.0,8.0,4.0,8.0,2.0,1,75.0,High
Employee 117,12.0,6.0,7.0,7.0,6.0,3.0,7.0,4.0,1,55.0,Medium
Employee 118,9.0,2.0,6.0,7.0,4.0,3.0,4.0,5.0,0,43.0,Medium
Employee 119,7.0,1.0,2.0,9.0,1.0,1.0,1.0,9.0,0,10.0,Low
Employee 120,11.0,5.0,8.0,6.0,7.0,4.0,6.0,3.0,1,68.0,High
Employee 121,12.0,5.0,6.0,7.0,6.0,3.0,7.0,4.0,1,56.0,Medium
Employee 122,12.0,5.0,7.0,6.0,7.0,4.0,8.0,3.0,1,73.0,High
Employee 123,10.0,3.0,9.0,6.0,7.0,3.0,5.0,2.0,1,70.0,High
Employee 124,13.0,6.0,10.0,5.0,9.0,4.0,8.0,1.0,1,88.0,High
Employee 125,11.0,3.0,7.0,7.0,6.0,3.0,6.0,3.0,1,63.0,Medium
Employee 126,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,62.0,Medium
Employee 127,9.0,3.0,4.0,8.0,2.0,2.0,3.0,7.0,0,25.0,Low
Employee 128,9.0,3.0,5.0,8.0,4.0,2.0,3.0,6.0,0,40.0,Medium
Employee 129,12.0,5.0,8.0,6.0,8.0,4.0,8.0,2.0,1,77.0,High
Employee 130,11.0,5.0,6.0,7.0,6.0,3.0,6.0,4.0,1,58.0,Medium
Employee 131,11.0,5.0,4.0,8.0,3.0,2.0,6.0,7.0,0,30.0,Low
Employee 132,11.0,5.0,8.0,6.0,6.0,4.0,6.0,3.0,1,61.0,Medium
Employee 133,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,40.0,Medium
Employee 134,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,33.0,Medium
Employee 135,8.0,2.0,2.0,9.0,1.0,1.0,2.0,8.0,0,6.0,Low
Employee 136,9.0,2.0,4.0,8.0,4.0,2.0,4.0,6.0,0,36.0,Medium
Employee 137,8.0,2.0,4.0,8.0,3.0,1.0,2.0,7.0,0,28.0,Low
Employee 138,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,37.0,Medium
Employee 139,7.0,1.0,1.0,10.0,0.0,0.0,1.0,9.0,0,3.0,Low
Employee 140,10.0,3.0,7.0,6.0,7.0,3.0,5.0,3.0,1,67.0,High
Employee 141,8.0,2.0,7.0,7.0,5.0,2.0,3.0,4.0,0,46.0,Medium
Employee 142,12.0,5.0,8.0,6.0,7.0,4.0,8.0,3.0,1,72.0,High
Employee 143,12.0,6.0,8.0,6.0,6.0,4.0,7.0,3.0,1,65.0,Medium
Employee 144,7.0,1.0,4.0,8.0,2.0,1.0,1.0,7.0,0,24.0,Low
Employee 145,8.0,2.0,5.0,7.0,4.0,2.0,3.0,5.0,0,41.0,Medium
Employee 146,10.0,3.0,8.0,6.0,7.0,3.0,5.0,3.0,1,68.0,High
Employee 147,12.0,6.0,8.0,6.0,7.0,4.0,7.0,3.0,1,72.0,High
Employee 148,7.0,1.0,4.0,8.0,3.0,2.0,2.0,6.0,0,33.0,Medium
Employee 149,10.0,5.0,6.0,7.0,5.0,3.0,5.0,4.0,0,48.0,Medium
Employee 150,9.0,3.0,6.0,7.0,5.0,2.0,4.0,5.0,0,48.0,Medium
Employee 151,10.0,3.0,5.0,8.0,4.0,2.0,5.0,6.0,0,36.0,Medium
Employee 152,14.0,6.0,9.0,5.0,9.0,5.0,10.0,1.0,1,91.0,High
Employee 153,8.0,2.0,4.0,8.0,2.0,2.0,2.0,7.0,0,24.0,Low
Employee 154,11.0,5.0,6.0,7.0,4.0,3.0,6.0,5.0,0,45.0,Medium
Employee 155,14.0,7.0,9.0,6.0,8.0,4.0,9.0,1.0,1,85.0,High
Employee 156,9.0,3.0,6.0,7.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 157,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,36.0,Medium
Employee 158,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 159,11.0,5.0,8.0,6.0,6.0,4.0,6.0,3.0,1,59.0,Medium
Employee 160,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 161,8.0,2.0,4.0,8.0,4.0,2.0,3.0,6.0,0,38.0,Medium
Employee 162,11.0,5.0,8.0,6.0,6.0,3.0,6.0,3.0,1,59.0,Medium
Employee 163,11.0,3.0,8.0,6.0,7.0,4.0,7.0,2.0,1,70.0,High
Employee 164,9.0,3.0,6.0,7.0,4.0,2.0,3.0,5.0,0,42.0,Medium
Employee 165,8.0,2.0,5.0,7.0,5.0,2.0,2.0,5.0,0,46.0,Medium
Employee 166,10.0,5.0,5.0,8.0,4.0,2.0,5.0,6.0,0,39.0,Medium
Employee 167,10.0,5.0,5.0,7.0,4.0,3.0,5.0,5.0,0,42.0,Medium
Employee 168,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 169,10.0,3.0,5.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 170,8.0,2.0,4.0,8.0,3.0,2.0,2.0,6.0,0,30.0,Low
Employee 171,11.0,6.0,7.0,7.0,6.0,3.0,6.0,3.0,1,63.0,Medium
Employee 172,10.0,3.0,5.0,7.0,4.0,3.0,5.0,5.0,0,45.0,Medium
Employee 173,11.0,5.0,6.0,7.0,6.0,3.0,6.0,4.0,1,58.0,Medium
Employee 174,12.0,6.0,9.0,6.0,7.0,4.0,7.0,2.0,1,67.0,High
Employee 175,10.0,3.0,7.0,6.0,7.0,3.0,5.0,3.0,1,71.0,High
Employee 176,8.0,2.0,6.0,7.0,5.0,2.0,3.0,5.0,0,48.0,Medium
Employee 177,8.0,2.0,3.0,9.0,2.0,1.0,3.0,7.0,0,22.0,Low
Employee 178,11.0,5.0,5.0,7.0,4.0,3.0,6.0,5.0,0,43.0,Medium
Employee 179,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,57.0,Medium
Employee 180,10.0,5.0,6.0,7.0,5.0,3.0,4.0,5.0,0,47.0,Medium
Employee 181,10.0,5.0,5.0,7.0,5.0,3.0,5.0,5.0,0,47.0,Medium
Employee 182,9.0,2.0,6.0,7.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 183,8.0,2.0,6.0,7.0,4.0,2.0,3.0,5.0,0,37.0,Medium
Employee 184,12.0,5.0,8.0,6.0,8.0,4.0,7.0,2.0,1,80.0,High
Employee 185,13.0,6.0,9.0,6.0,8.0,4.0,8.0,2.0,1,80.0,High
Employee 186,9.0,2.0,7.0,7.0,5.0,3.0,4.0,4.0,0,49.0,Medium
Employee 187,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 188,14.0,6.0,9.0,5.0,9.0,5.0,9.0,1.0,1,86.0,High
Employee 189,8.0,2.0,5.0,8.0,3.0,2.0,2.0,6.0,0,33.0,Medium
Employee 190,11.0,5.0,6.0,7.0,5.0,3.0,6.0,5.0,1,50.0,Medium
Employee 191,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,34.0,Medium
Employee 192,7.0,1.0,5.0,8.0,2.0,2.0,2.0,6.0,0,23.0,Low
Employee 193,13.0,6.0,10.0,5.0,9.0,4.0,8.0,1.0,1,92.0,High
Employee 194,11.0,5.0,6.0,7.0,4.0,3.0,6.0,5.0,0,44.0,Medium
Employee 195,8.0,2.0,4.0,8.0,2.0,2.0,3.0,7.0,0,15.0,Low
Employee 196,7.0,1.0,4.0,8.0,3.0,2.0,2.0,6.0,0,32.0,Low
Employee 197,10.0,5.0,6.0,7.0,4.0,3.0,4.0,5.0,0,43.0,Medium
Employee 198,14.0,6.0,9.0,6.0,8.0,4.0,9.0,2.0,1,78.0,High
Employee 199,7.0,1.0,3.0,8.0,2.0,1.0,1.0,7.0,0,23.0,Low
Employee 200,9.0,3.0,4.0,8.0,2.0,2.0,4.0,7.0,0,21.0,Low
Employee 201,8.0,2.0,4.0,8.0,2.0,1.0,2.0,7.0,0,23.0,Low
Employee 202,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,40.0,Medium
Employee 203,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,38.0,Medium
Employee 204,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 205,9.0,3.0,4.0,8.0,3.0,2.0,4.0,6.0,0,33.0,Medium
Employee 206,10.0,3.0,7.0,6.0,6.0,3.0,5.0,3.0,1,62.0,Medium
Employee 207,10.0,5.0,5.0,7.0,4.0,2.0,4.0,6.0,0,36.0,Medium
Employee 208,9.0,3.0,4.0,8.0,3.0,2.0,3.0,7.0,0,28.0,Low
Employee 209,9.0,3.0,6.0,7.0,4.0,3.0,4.0,5.0,0,41.0,Medium
Employee 210,7.0,1.0,3.0,9.0,1.0,1.0,1.0,8.0,0,10.0,Low
Employee 211,9.0,3.0,7.0,7.0,6.0,3.0,4.0,3.0,1,63.0,Medium
Employee 212,12.0,5.0,7.0,6.0,7.0,4.0,7.0,3.0,1,67.0,High
Employee 213,12.0,5.0,7.0,6.0,6.0,4.0,7.0,3.0,1,62.0,Medium
Employee 214,11.0,3.0,9.0,6.0,8.0,4.0,7.0,2.0,1,77.0,High
Employee 215,7.0,1.0,1.0,10.0,0.0,0.0,1.0,10.0,0,0.0,Low
Employee 216,11.0,3.0,6.0,7.0,5.0,3.0,6.0,5.0,1,51.0,Medium
Employee 217,9.0,3.0,7.0,7.0,6.0,3.0,4.0,4.0,1,61.0,Medium
Employee 218,8.0,2.0,5.0,7.0,4.0,2.0,3.0,5.0,0,41.0,Medium
Employee 219,10.0,5.0,6.0,7.0,5.0,3.0,5.0,4.0,1,53.0,Medium
Employee 220,8.0,2.0,7.0,7.0,5.0,2.0,3.0,4.0,1,50.0,Medium
Employee 221,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,55.0,Medium
Employee 222,11.0,6.0,6.0,7.0,5.0,3.0,6.0,5.0,0,49.0,Medium
Employee 223,10.0,5.0,6.0,7.0,4.0,3.0,5.0,5.0,0,44.0,Medium
Employee 224,12.0,5.0,9.0,6.0,7.0,4.0,7.0,2.0,1,70.0,High
Employee 225,8.0,2.0,7.0,7.0,5.0,2.0,2.0,4.0,0,48.0,Medium
Employee 226,10.0,3.0,7.0,7.0,6.0,3.0,5.0,4.0,1,60.0,Medium
Employee 227,9.0,3.0,6.0,7.0,5.0,2.0,4.0,5.0,0,48.0,Medium
Employee 228,9.0,3.0,4.0,8.0,2.0,2.0,3.0,7.0,0,21.0,Low
Employee 229,8.0,3.0,3.0,9.0,2.0,1.0,2.0,8.0,0,15.0,Low
Employee 230,14.0,7.0,10.0,5.0,10.0,5.0,10.0,1.0,1,98.0,High
Employee 231,8.0,2.0,4.0,8.0,2.0,2.0,2.0,7.0,0,25.0,Low
Employee 232,12.0,5.0,9.0,6.0,7.0,4.0,8.0,2.0,1,70.0,High
Employee 233,12.0,6.0,7.0,6.0,7.0,4.0,7.0,3.0,1,69.0,High
Employee 234,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,33.0,Medium
Employee 235,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 236,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,57.0,Medium
Employee 237,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,27.0,Low
Employee 238,11.0,6.0,7.0,7.0,7.0,3.0,6.0,3.0,1,67.0,High
Employee 239,7.0,2.0,3.0,8.0,2.0,1.0,1.0,7.0,0,25.0,Low
Employee 240,7.0,1.0,4.0,8.0,2.0,1.0,1.0,7.0,0,18.0,Low
Employee 241,12.0,5.0,8.0,6.0,6.0,4.0,7.0,3.0,1,60.0,Medium
Employee 242,10.0,3.0,5.0,7.0,4.0,3.0,5.0,5.0,0,39.0,Medium
Employee 243,8.0,2.0,5.0,7.0,3.0,2.0,3.0,6.0,0,34.0,Medium
Employee 244,11.0,5.0,6.0,7.0,5.0,3.0,6.0,5.0,1,52.0,Medium
Employee 245,8.0,2.0,5.0,7.0,4.0,2.0,3.0,5.0,0,42.0,Medium
Employee 246,7.0,2.0,5.0,8.0,3.0,1.0,1.0,6.0,0,28.0,Low
Employee 247,9.0,3.0,6.0,7.0,4.0,3.0,4.0,5.0,0,38.0,Medium
Employee 248,11.0,6.0,7.0,7.0,6.0,3.0,6.0,4.0,1,59.0,Medium
Employee 249,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,62.0,Medium
Employee 250,12.0,5.0,9.0,6.0,8.0,4.0,7.0,2.0,1,76.0,High
Employee 251,8.0,2.0,4.0,8.0,3.0,2.0,3.0,6.0,0,33.0,Medium
Employee 252,8.0,3.0,4.0,8.0,3.0,2.0,2.0,6.0,0,28.0,Low
Employee 253,11.0,5.0,7.0,6.0,6.0,3.0,6.0,3.0,1,62.0,Medium
Employee 254,9.0,3.0,5.0,7.0,4.0,2.0,4.0,5.0,0,45.0,Medium
Employee 255,8.0,3.0,3.0,8.0,2.0,1.0,2.0,7.0,0,24.0,Low
Employee 256,10.0,3.0,6.0,7.0,5.0,3.0,5.0,4.0,1,53.0,Medium
Employee 257,9.0,3.0,7.0,7.0,6.0,3.0,4.0,4.0,1,59.0,Medium
Employee 258,10.0,5.0,4.0,8.0,3.0,2.0,5.0,7.0,0,29.0,Low
Employee 259,8.0,2.0,3.0,9.0,2.0,1.0,2.0,8.0,0,19.0,Low
Employee 260,12.0,6.0,8.0,6.0,6.0,4.0,7.0,3.0,1,65.0,Medium
Employee 261,7.0,2.0,1.0,9.0,0.0,1.0,1.0,9.0,0,2.0,Low
Employee 262,9.0,3.0,7.0,6.0,5.0,3.0,4.0,4.0,0,47.0,Medium
Employee 263,10.0,3.0,7.0,7.0,4.0,3.0,5.0,5.0,0,43.0,Medium
Employee 264,10.0,3.0,8.0,6.0,6.0,3.0,5.0,3.0,1,61.0,Medium
Employee 265,7.0,1.0,5.0,8.0,3.0,2.0,2.0,6.0,0,33.0,Medium
Employee 266,9.0,3.0,8.0,6.0,6.0,3.0,4.0,3.0,1,60.0,Medium
Employee 267,11.0,3.0,6.0,7.0,5.0,3.0,6.0,4.0,1,52.0,Medium
Employee 268,14.0,7.0,9.0,5.0,9.0,5.0,9.0,1.0,1,93.0,High
Employee 269,9.0,3.0,6.0,7.0,5.0,3.0,4.0,4.0,0,47.0,Medium
Employee 270,12.0,5.0,7.0,7.0,5.0,3.0,7.0,4.0,1,51.0,Medium
Employee 271,7.0,2.0,5.0,8.0,3.0,1.0,1.0,6.0,0,26.0,Low
Employee 272,10.0,5.0,5.0,7.0,4.0,2.0,4.0,5.0,0,42.0,Medium
Employee 273,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,58.0,Medium
Employee 274,8.0,2.0,5.0,7.0,3.0,2.0,2.0,6.0,0,30.0,Low
Employee 275,11.0,5.0,6.0,7.0,6.0,3.0,6.0,4.0,1,56.0,Medium
Employee 276,10.0,3.0,6.0,7.0,6.0,3.0,5.0,4.0,1,57.0,Medium
Employee 277,9.0,3.0,6.0,7.0,3.0,2.0,3.0,6.0,0,30.0,Low
Employee 278,13.0,6.0,10.0,5.0,9.0,4.0,8.0,1.0,1,86.0,High
Employee 279,11.0,3.0,6.0,7.0,6.0,3.0,6.0,4.0,1,62.0,Medium
Employee 280,10.0,5.0,5.0,7.0,4.0,3.0,5.0,5.0,0,41.0,Medium
Employee 281,9.0,2.0,5.0,7.0,4.0,2.0,4.0,6.0,0,38.0,Medium
Employee 282,10.0,3.0,6.0,7.0,4.0,3.0,5.0,5.0,0,41.0,Medium
Employee 283,10.0,3.0,6.0,7.0,5.0,3.0,5.0,5.0,0,46.0,Medium
Employee 284,9.0,3.0,6.0,7.0,4.0,2.0,4.0,5.0,0,44.0,Medium
Employee 285,7.0,2.0,3.0,8.0,2.0,1.0,1.0,7.0,0,24.0,Low
Employee 286,9.0,3.0,6.0,7.0,4.0,3.0,4.0,5.0,0,39.0,Medium
Employee 287,9.0,3.0,8.0,6.0,5.0,3.0,4.0,4.0,1,53.0,Medium
Employee 288,8.0,3.0,4.0,8.0,2.0,1.0,2.0,7.0,0,21.0,Low
Employee 289,13.0,6.0,8.0,6.0,8.0,4.0,8.0,2.0,1,77.0,High
Employee 290,8.0,2.0,6.0,7.0,4.0,2.0,2.0,5.0,0,37.0,Medium
Employee 291,8.0,2.0,5.0,8.0,4.0,2.0,3.0,6.0,0,38.0,Medium
